-5.0000	-0.043545							
-4.9000	-0.069448							
-4.8000	0.27852							
-4.7000	0.050277							
-4.6000	0.31630							
-4.5000	0.026457							
-4.4000	0.019972							
-4.3000	0.11946							
-4.2000	-0.059453							
-4.1000	-0.021593							
-4.0000	0.068914							
-3.9000	0.18916							
-3.8000	0.13603							
-3.7000	-0.24887							
-3.6000	0.096871							
-3.5000	0.13034							
-3.4000	0.045851							
-3.3000	-0.013519							
-3.2000	0.086190							
-3.1000	0.071601							
-3.0000	0.15097							
-2.9000	0.59790							
-2.8000	0.44840							
-2.7000	0.37236							
-2.6000	0.35400							
-2.5000	0.47090							
-2.4000	0.69727							
-2.3000	0.82452							
-2.2000	0.81569							
-2.1000	1.1905							
-2.0000	1.0237							
-1.9000	1.4063							
-1.8000	1.2694							
-1.7000	1.6735							
-1.6000	1.6774							
-1.5000	1.6708							
-1.4000	1.8992							
-1.3000	2.2428							
-1.2000	2.1962							
-1.1000	2.3875							
-1.0000	2.7253							
-0.90000	3.0154							
-0.80000	2.9018							
-0.70000	2.6278							
-0.60000	3.3114							
-0.50000	3.4363							
-0.40000	3.2676							
-0.30000	3.3962							
-0.20000	3.1639							
-0.10000	3.3255							
0.0000	3.2160							
0.10000	2.9330							
0.20000	3.2432							
0.30000	3.0019							
0.40000	2.6602							
0.50000	2.7023							
0.60000	2.5534							
0.70000	2.4550							
0.80000	2.1882							
0.90000	2.0701							
1.0000	1.7964							
1.1000	1.7324							
1.2000	1.8165							
1.3000	1.3330							
1.4000	1.2837							
1.5000	1.1434							
1.6000	1.2195							
1.7000	0.98114							
1.8000	0.94158							
1.9000	0.86419							
2.0000	0.79253							
2.1000	0.52609							
2.2000	0.56038							
2.3000	0.34036							
2.4000	0.18723							
2.5000	0.20092							
2.6000	0.28949							
2.7000	0.25623							
2.8000	0.23665							
2.9000	0.41972							
3.0000	0.011492							
3.1000	-0.070920							
3.2000	-0.15091							
3.3000	0.25199							
3.4000	0.12749							
3.5000	0.16105							
3.6000	0.082538							
3.7000	0.00057354							
3.8000	-0.23022							
3.9000	-0.23211							
4.0000	-0.35406							
4.1000	0.081988							
4.2000	-0.057235							
4.3000	-0.037985							
4.4000	0.13099							
4.5000	-0.11149							
4.6000	-0.028100							
4.7000	0.094847							
4.8000	-0.020607							
4.9000	-0.063268
